CHM00058221,32.95,117.367,BENGBU
CHM00058238,31.933,118.9,NANJING
CHM00058251,32.85,120.283,DONGTAI
CHM00058314,31.4,116.333,HUOSHAN
CHM00058321,31.867,117.233,HEFEI
CHM00058362,31.4,121.467,SHANGHAI
CHM00058367,31.167,121.433,SHANGHAI/HONGQIAO
CHM00058424,30.533,117.05,ANQING
CHM00058457,30.233,120.167,HANGZHOU
CHM00058477,30.033,122.117,DINGHAI
CHM00058527,29.3,117.2,JINGDEZHEN
CHM00058606,28.6,115.917,NANCHANG
CHM00058633,28.967,118.867,QU
CHM00058659,28.017,120.667,WENZHOU
CHM00058666,28.45,121.883,DACHEN
CHM00058715,27.583,116.65,NANCHENG
CHM00058752,27.783,120.65,RUIAN
CHM00058834,26.633,118,NANPING
CHM00058847,26.083,119.283,FUZHOU
CHM00058921,25.967,117.35,YONGAN
CHM00059023,24.7,108.05,HECHI
CHM00059082,24.667,113.6,SHAOGUAN
CHM00059134,24.483,118.083,XIAMEN
CHM00059211,23.9,106.6,BAISE
CHM00059254,23.4,110.083,GUIPING
CHM00059265,23.483,111.3,WUZHOU
CHM00059287,23.217,113.483,GUANGZHOU
CHM00059293,23.8,114.733,HEYUAN
CHM00059316,23.4,116.683,SHANTOU
CHM00059417,22.367,106.75,LONGZHOU
CHM00059431,22.633,108.217,NANNING
CHM00059501,22.783,115.367,SHANWEI
CHM00059632,21.95,108.617,QINZHOU
CHM00059663,21.867,111.967,YANGJIANG
CHM00059758,20,110.25,HAIKOU
CHM00059838,19.1,108.617,DONGFANG
CHM00059855,19.233,110.467,QIONGHAI
CHM00059948,18.217,109.583,SANYA
CHM00059981,16.833,112.333,XISHA
CHW00043204,31.2333,121.45,HUNG
CHW00043205,36.1833,120.383,TSINGTAO
